dataset_name	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017
study_condition	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	17.44614	4.25473	5.81323	2.00059	20.92353	15.35992	0.46783	6.44138	5.07191	5.5591	5.16328	15.74519	6.65938	2.50052	21.68653	24.66112	0	32.85793	7.32378	0.77262	9.2788	0.02686	0.0	1.44094	11.67584	0.28062	7.13488	31.9587	44.70136	1.07919	3.74256	5.65023	18.76741	1.20347	7.51559	6.70637	3.0568	0.20716	17.07404	9.85278	6.01828	11.89933	0.21632	4.47808	24.53668	63.33226	11.79593	6.08824	17.46337	8.20656	3.43539	12.75888	15.78573	4.2211	18.52074
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae	0.0	0.04616	9.80894	1.43447	0.0	0.12288	0.73828	0.21588	0.01033	1.63845	1.18001	0.04966	0.26777	0.1697	0.0	0.0	100	0.0	0.06721	0.48913	0.0	0.03624	10.03252	0.96686	0.13161	0.06991	0.65255	0.0	0.12756	0.70288	4.65242	0.80573	2.57055	2.73771	2.29508	0.0	0.29609	0.0	0.35709	0.01657	0.18431	0.32669	0.8728	0.0	0.09298	0.0	0.45969	11.38446	0.47766	0.13828	0.03757	2.55041	0.08589	0.13443	0.28468
k__Bacteria.p__Firmicutes.c__Firmicutes_unclassified.o__Firmicutes_unclassified.f__Firmicutes_unclassified	1.37955	0.0	0.0	8.6598	0.11276	0.15632	0.0	11.24819	0.37332	1.96428	0.00364	0.05885	0.0	0.0	2.09655	0.08858	0	0.64033	0.15453	4.55557	0.0	0.32244	0.0	0.75733	3.70578	1.25471	0.12957	6.62035	0.0	0.14436	0.0	0.0	0.5809	0.0	0.0	0.22883	0.0	0.0	0.1529	0.0	1.95977	0.69604	0.0	0.89775	0.07463	0.61414	0.0	0.0	0.27837	0.0	0.91594	0.1161	2.01609	0.0	0.00918
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae	0.0	0.0	0.0	0.06822	0.66877	0.26971	0.0	0.0	0.0	0.03691	0.0	0.0	0.0	0.0	0.0	0.03634	0	2.31851	0.44213	0.0	0.0	0.0	0.0	0.0	0.04004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00641	0.0	0.75987	1.06653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07367	0.19679	0.0	0.0	0.0646	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Selenomonadaceae	0.0	0.0	0.63946	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0	0.03236	0.07864	0.0	0.0	0.0	0.0	0.0	0.03744	0.59698	0	0.0	0.0	0.0	0	0.0	0.06288	0.0	0.0	0.0209	0.0	1.16179	2.30891	0.0	0.0	0.0	0.0	0.0	0.0	0.0612	0.59793	0	0.0	0.87825	0.0	0.0	0.01295	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.31266	0.0	0.0	0.02278
k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales.f__Peptoniphilaceae	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.02451	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.13367	0.0	0.0	0.0	0.0911	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0157	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.07448	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0	0.0	0	0.0	0	0	0.0	0.0	0	0.0	0.0	1.21141	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.20757	0.0	0	0.04639	0.15809	0.0	0	0.0	0.0	0.0	0	0	0	0	0.15248	0	0	0	0.0	0	0.0708	0.0	0	0.0	0	0.38109	0.0	0	0.0	0	0.0	0	0	0.0	0.0	0	0.0	0.0	0.00779	0.0	0.0
