dataset_name	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a
k__Bacteria.p__Bacteroidetes.c__Bacteroidetes_unclassified.o__Bacteroidetes_unclassified.f__Bacteroidetes_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	0.31593	5.03644	14.2092	50.3889	12.53804	19.60468	22.26494	28.79235	8.51789	2.66067	26.28209	0.00029	17.37982	14.03174	28.71982	14.34478	28.82638	50.32286	15.30754	25.57531	48.64126	18.51086	0.0016	29.05344	0.0	0.0	11.36862	25.64444	36.5221	11.12161	38.57879	5.80235	9.78477	7.40414	47.90586	26.51862	24.07524	13.88912	68.17643	33.57516	61.11018	35.899	25.02709	4.93407	17.75739	2.30888	8.90846	47.45326	18.71539	20.88901	2.82261	43.55855	69.60807
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae	0.0	0.22431	0.56433	0.03539	4.85579	0.4698	0.0	0.0	0.47576	0.36826	0.30546	0.0	0.0	3.06921	0.0	0.0	2.69248	0.0	0.10683	0.07446	2.39822	0.06071	0.0	1.95369	0	0.0	0.51936	3.42527	1.38449	0.71919	3.26867	0.0	0.49248	0.36691	0.50141	0.22504	0.68445	0.14631	0.11848	0.81041	0.17205	0.82162	0.21767	0.01635	3.30641	0.67528	0.1517	0.02159	1.82707	0.6857	0.12414	0.44437	1.7336
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae	0.0	0.19574	0.09338	0.25852	0.25508	1.87543	0.0	0.35597	0.32153	0.12463	0.28817	0.0	0.0	1.6382	0.0	0.27377	0.54984	0.05482	0.10155	0.92644	0.0	0.36085	0.0	0.51821	0	0.0	0.68999	1.67352	0.81985	0.3544	0.76101	0.13662	0.08391	0.07066	1.82615	0.51746	0.89348	0.18763	0.05289	0.82974	0.2554	0.83021	0.93713	0.02722	0.86045	0.33024	0.98087	0.00029	0.87071	0.54253	0.14341	0.61945	3.82819
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	0.0	0.0	0.0	0.0	0.0	0.06834	0.00812	0.0	0.56246	0.0	0.0577	0.0	0.0	0.06503	0.0	0.0	0.04726	0.0	0.0009	0.0	0.0	0.0	0.0	0.0	0	0.0	0.01782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00608	46.1061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00464	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	0.001	24.28298	0.00206	0.0	15.60168	5.13254	0.65877	0.0	7.36703	0.0	4.79445	0.01322	29.42036	2.5514	0.12805	0.0	32.26209	1.45208	0.37976	0.7305	0.02366	0.09949	0.00174	0.56401	0	0.0	10.09709	0.0473	0.0	0.0	0.0	76.3288	0.0	0.0	9.3048	7.82135	13.18614	0.0	0.0	0.66014	0.0	0.62453	1.97592	0.63063	0.0	81.97223	5.708	0.0	0.58435	35.11345	82.80424	7.5874	0.69043
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	0.00382	35.6452	15.82668	0.81584	9.3073	26.13058	0.0939	12.87985	15.41113	23.77176	35.12442	0.0	3.47416	17.51927	0.02407	68.66997	5.06504	28.24627	18.36425	9.32646	0.39063	18.92141	0.00093	21.41848	0.0	0.0	64.82991	17.08749	34.10427	9.513	9.763	3.15241	6.7441	7.12009	15.58486	26.72601	8.26156	2.43157	15.85986	7.11585	13.8752	5.51903	7.00136	13.05157	30.96098	4.9442	48.6342	0.0	13.74901	6.80046	7.31542	9.13596	7.6256
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	0.0	0.15797	0.84014	2.57339	0.33261	2.58988	0.25389	5.13918	4.44762	0.70765	3.3753	0.00015	0.0	3.94326	2.4847	0.69934	5.51902	0.36299	2.08833	5.96967	2.79847	7.22917	0.0	0.83039	0.0	65.22049	4.92814	10.62802	5.92693	6.36431	14.20166	0.0	15.89668	12.86431	2.2827	3.51747	3.73769	4.54919	2.88758	4.51342	11.31033	4.77817	3.21739	0.56989	2.02156	1.08357	4.10896	0.0	2.61051	2.38428	1.09578	2.09538	1.50985
k__Bacteria.p__Bacteroidetes.c__Chitinophagia.o__Chitinophagales.f__Chitinophagaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01621	0.00804	0.0	0.0	0.00033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Candidatus_Melainabacteria.c__Candidatus_Melainabacteria_unclassified.o__Candidatus_Gastranaerophilales.f__Candidatus_Gastranaerophilales_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Cyanobacteria.c__Cyanobacteria_unclassified.o__Oscillatoriales.f__Microcoleaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillales_unclassified	0.0	0.00178	0.0	0.0	0.0	0.0	0.04837	0.0	0.0	0.0	0.0	0.00292	0.18195	0.0	0.0	0.0	0.0	0.00115	0.0	0.0	0.0	0.0	0.0	0.0	0.00282	0.0	0.0	0.0	0.0	0.0	0.0	0.00128	0.0	0.0	0.0	0.0	0.0	0.0759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00465	0.0	0.0	0.0	0.00245
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	0.0	0.02281	0.0	0.00652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Aerococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.05967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4754	0.0	0.04998	0.00952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.00319	0.0	0.0	0.0	0.0	0.00308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.24413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.70961	0.0	0.03069	2.40194	0.0	0.0	0.0	0.0	0.00171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	0.00443	0.0	0.00907	0.07782	0.0	0.0	0.00431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2266	0.0	0.0	0.0	0.0	0.0	4.12523	0.0	0.0	0.08691	0.11712	0.00335	0.0	0.0	0.0	0.00516	0.0	0.0	0.01017	0.00081	0.01618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	0.00087	0.02629	0.02218	0.1366	0.0	1.15581	2.13367	0.0	0.0	0.0016	0.0	0.00507	0.04587	0.0	2.26876	0.0	0.0	0.0	0.0	0.0	0.89032	0.0085	0.0	0.0	0.05681	0.00152	0.02088	0.00303	0.0	0.09712	0.01441	0.0	0.02011	0.0227	0.0	0.0	0.0076	0.0	0.0	0.0	0.0	0.0	3.22801	0.00934	0.02589	0.0	0.04261	0.02607	0.0	0.0	0.0	0.48719	0.07338
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Catabacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11691	0.0	0.00596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00454	0.0	0.0	0.18349	0.0	0.00149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00525	0.00425	0.0	0.0	0.00191	0	0.0	0.0	0.0	0.0	0.00807	0.00188	0.0	0.0	0.0	0.00254	0.00555	0.0373	0.0	0.0	0.0	0.0	0.00364	0.0	0.0	0.0	0.0	0.0	0.0	0.03098	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	0.71101	0.10031	0.0118	0.0	0.00153	0.25187	0.14417	0.21188	0.1971	0.0	0.24178	0.0	0.89045	0.52057	0.12744	0.27166	0.07983	0.0	0.1425	1.47356	0.04788	0.00041	0	0.0	0.0	0.0	0.25577	0.32046	0.43301	1.45566	3.1063	1.2481	0.27949	0.24885	0.49481	0.14477	0.67192	0.52162	0.12065	0.25733	0.44602	0.22737	0.03159	0.0	0.0	0.0	0.01915	0.00097	0.37046	0.14228	0.06581	0.96218	0.04281
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_Family_XIII_Incertae_Sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.00092	0.0	0.0	0.0	0.0	0.0	0.38083	0.0	0.00354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_unclassified	0.02257	2.51277	0.04201	0.0	0.14944	0.56602	0.02161	0.0	0.11588	0.27887	0.96915	0.0	0.0	0.28003	0.0	0.671	0.34204	0.02233	0.13241	0.2706	0.03714	0.64099	0	0.00761	0.0	0.15661	0.24309	1.1215	0.21246	0.14777	0.07263	0.32714	0.26257	0.25262	0.37016	0.17341	0.2546	0.27946	0.08491	0.71585	0.28966	0.65471	0.12651	0.15517	0.37119	0.1009	1.00818	0.00883	0.14202	0.07302	0.11439	0.16095	0.04928
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	0.00639	11.15099	2.90342	0.89452	4.61656	0.80262	0.14572	0.17344	2.8005	0.47831	4.53749	0.0	0.08177	4.50635	1.94811	0.05341	1.13402	0.0141	1.68626	9.91992	17.60976	0.0	0	0.90303	0.0	2.42667	0.70438	0.0331	0.60807	8.5119	0.01788	0.16059	6.73036	5.94626	0.5286	0.92469	11.61207	0.0	0.00416	8.89341	0.00301	8.81196	2.38805	0.80221	8.6705	0.17812	0.1322	0.0	0.31296	1.49205	0.0	1.02356	0.11943
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	2.07649	0.84828	3.90539	2.3568	1.71698	2.5323	48.58346	4.13774	13.0443	23.65182	0.40029	0.0164	2.85838	4.03291	7.36389	1.009	2.09451	0.46552	5.08671	11.53165	15.33289	15.25088	0	4.05099	0.0	4.83913	0.40676	9.94697	2.73931	15.33535	1.77281	1.30729	21.34316	16.86157	4.17422	11.52109	19.62298	3.47638	1.40328	10.69795	0.47885	12.93082	19.39389	6.11871	3.19677	0.99722	0.55366	13.91983	6.96273	9.42242	0.15318	3.40067	3.90234
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Oscillospiraceae	0.0	0.01609	0.76526	0.09716	1.91144	9.72812	0.27864	0.0	0.0	6.92602	1.34807	0.0	0.0	0.14033	0.00304	0.23644	0.0	0.0	0.52734	0.63471	0.7219	0.03216	0	1.60862	0	0.0	0.94935	3.54728	0.00802	0.00209	0.0	0.0	0.00205	0.00623	1.29356	0.41634	1.702	0.92263	0.0	0.00089	0.0	0.0	0.8028	0.52076	0.91115	0.06909	0.01545	0.0	2.89733	1.47397	0.44081	0.86442	0.57525
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01376	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	33.05293	13.22438	47.53772	13.21105	5.35519	11.69997	8.72571	3.74236	16.64662	25.85642	19.57756	0.03415	1.52179	36.19141	41.40831	6.01868	15.02688	5.76059	25.66265	13.65677	1.93636	26.93924	0	27.30768	0	2.45545	2.37239	10.81657	11.89663	32.49304	5.40669	5.08041	14.058	16.02528	12.75717	14.13211	6.43887	3.63787	2.48975	14.89223	6.65303	14.85726	10.17682	17.68677	25.30886	3.10736	2.48465	11.27156	32.31323	7.92629	1.60266	26.1183	3.40899
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae	0.01015	0.07202	0.16081	0.07707	0.0	0.0	0.23749	0.0	0.00227	0.0	0.00698	0.0	0.08892	0.03834	0.02293	0.00161	0.05577	0.00085	0.0	0.03076	0.0	0.06693	0	0.0	0	0.02067	0.0037	0.10183	0.0	0.0	0.09115	0.0	0.0	0.0	0.13943	0.0206	0.04682	1.26059	0.0	0.00025	0.00568	0.0	0.0	0.0	0.0	0.0	0.15847	0.12223	0.00541	0.01712	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Firmicutes_unclassified.o__Firmicutes_unclassified.f__Firmicutes_unclassified	0.52136	0.0	2.48372	0.01989	2.73716	0.9931	0.0	0.15964	1.50784	6.33378	0.14228	0.0	0.0	4.88703	0.0	0.12333	0.30095	0.07966	2.98082	0.0	0.0	0.85558	0	0.15477	0	0.0	1.10045	0.3452	1.31612	0.52371	0.0	0.0	0.30792	0.41356	0.15516	0.22181	1.23766	0.10792	0.0146	1.69843	0.05965	1.32435	0.0996	1.22083	2.9004	0.0	2.91619	0.0	3.36071	1.82831	0.20053	0.94972	0.60657
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae	0.0	1.25121	3.29246	0.39721	0.07692	4.60492	0.10004	4.06795	3.042	0.0	0.0	0.0	0.0	1.93266	4.81635	1.82535	1.9758	1.88523	1.08304	1.21733	0.0	0.0	0	0.0	0	0.0	0.49433	0.0	0.0	0.0	11.29232	0.0	0.0	0.0	0.0	0.0	2.28685	0.0	6.65269	1.7657	0.69018	1.70821	2.06251	0.0	1.17548	0.07544	0.0	0.0	0.83733	0.67244	0.70408	0.47667	0.0
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Selenomonadaceae	0.0	0.00739	0.0	0.0	0.0	0.13899	0.00099	0.0	0.18065	0.0	0.0	0	0.68634	0.0	0.0	0.0	0.0	0.00047	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06318	0.0	0.0	0.0	0.0	0.0	0.0	0.02718	0.0	0.0	0.0	0.0	0.11456	0.102	0.0
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae	0.0	0.76518	0.0	0.01377	0.2114	0.04364	0.17228	0.0	0.05115	1.19516	0.06961	0	4.60823	0.0	1.13488	0.48311	0.0	0.16942	0.12675	0.07085	4.52312	0.12414	0	0.32247	0	0	0.03589	0.02081	1.98322	6.8697	0.0	0.67729	7.52473	7.95607	0.12339	0.30247	0.0	0.62924	0.32361	0.0	0.0	0.0	1.51736	0.0	0.0	0.00713	0.0	1.19044	0.0	0.0	0.0	0.0	0.00374
k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales.f__Peptoniphilaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.04764	0.0	0.00073	0.0	0.0	0	0.28856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.03774	0.11791	0.0	0.0	0.0	0.0	0	0.69963	0.0	0.0	0.0	0.26759	0.0	0.0	0.00445	0.0	0.15605	0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.36444	0.0	0.0	0.0	0.0	0.0	0.08421	0.0	0.0	0.0059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
