dataset_name	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016
study_condition	T1D	T1D	T1D	control	control	control	control	control	control	T1D	T1D	T1D	control	control	T1D	T1D	T1D	T1D	T1D	T1D	T1D	T1D	T1D	control	control	control	T1D	T1D	control	control	control	control	control	T1D	T1D	T1D	T1D	T1D	control	control	T1D	T1D	T1D	T1D	T1D	control	control	control	control	control	control	control	control
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.00268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00951	0.00212	0.00046	0.00791	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00768	0.0	0.12889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03733	0.43356	0.0	0.18917	0.0	0.00699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02352	0.01421	0.01921	0.0	0.0	0.0	0.01013	0.0	0.00552	0.02349	0.0	0.0	0.0	0.0	0.0	0.0	0.01311	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	0.0	0.0	0.021	0.28091	0.04211	0.35218	0.01386	0.01812	0.03979	0.95805	0.05701	1.3751	0.02843	0.0	0.03164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16207	0.08748	0.10934	0.0	0.0	0.0216	0.04109	0.0	0.0531	0.07474	0.00466	0.02085	0.0221	0.0	0.0	0.0	0.13581	0.00126	0.00123	0.0	0.00133	0.00717	0.0	0.00722	0.12231	0.01758	0.00989	0.00522	0.08623	0.02319
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02477	0.0	0.0	0.00356	0.0	0.0	0.0	0.0	0.0	0.0	0.00678	0.00056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16334	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	0.19841	0.38351	0.32927	0.89913	0.20488	0.09898	0.03383	0.26047	0.2163	0.28607	0.07132	1.76474	0.31293	0.39445	0.10765	0.05512	0.11409	0.55745	1.32444	0.49187	0.0	0.00873	0.0682	0.0332	0.06158	0.14354	0.81924	0.63156	1.05145	3.19215	0.25592	0.253	0.15592	0.49235	0.41325	2.69408	0.28741	0.53669	0.1335	0.86109	0.46011	0.16597	0.05947	0.01626	0.0431	1.53654	0.01943	0.28948	0.92297	0.06482	0.11204	0.11779	0.19562
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Catabacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00051	0.0	0.00348	0.0	0.0	0.00803	0.01093	0.00542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	2.11267	3.21582	2.93251	0.74846	0.28648	0.31117	3.98183	3.06879	1.99637	0.09248	0.01946	0.23804	0.04221	0.00255	0.48656	0.23587	0.5562	0.04855	0.02136	0.04658	0.0	0.00467	0.04766	0.006	0.01992	0.04132	2.2722	0.30491	0.15138	0.46964	0.03589	0.02474	0.02482	0.06281	0.15464	0.037	0.02369	0.10825	0.33927	7.4358	0.57482	0.0	0.21278	0.07006	0.01888	0.08592	0.02782	0.022	0.02293	0.03478	0.0	1.30614	0.00574
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_Family_XIII_Incertae_Sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00713	0.0	0.00235	0.00466	0.00553	0.00151	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01762	0.00063	0.0	0.0	0.00107	0.0	0.0	0.0	0.0	0.02412	0.05547	0.00479	0.0	0.00731	0.00432	0.00128	0.00882	0.00207	0.00339	0.00355	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_unclassified	0.01082	0.00257	0.05756	0.15289	0.07948	0.05117	0.05449	0.03109	0.15769	0.00779	0.01454	0.00522	0.00919	0.00428	0.1911	0.05117	0.0153	0.76179	0.7319	0.68544	0.15734	0.08625	0.08447	1.79315	1.46675	0.71364	0.05879	0.17742	0.18877	0.29567	0.00619	0.00897	0.00854	0.0	0.0	0.0052	0.01924	0.0188	0.0	0.0	0.0	0.00036	0.0	0.00832	0.0	0.00025	0.0	0.0	0.0	0.0	0.0	0.0	0.00384
