dataset_name	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Catabacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01438	0.0	0.0	0.00358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00369	0.0	0.0	0.02264	0.00967	0.00347	0.0	0.0	0.02779	0.0	0.0	0.0	0.00126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00714
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae	0.0093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0081	0.00247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01134	0.0	0.0	0.00248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00072	0.0	0.0	0.28275	0.0	0.0	0.0	0.0	0.0	0.00074	0.0	0.0	0.0	0.0	0.0	0.0	0.00156	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	0.36451	0.29697	0.13179	0.0	0.19902	0.08574	0.18603	0.0308	1.29649	0.13617	0.35235	0.01728	0.37533	0.07888	0.03768	0.13826	0.0	0.31276	0.3554	0.10248	0.43747	0.05934	1.19907	0.06546	1.47483	10.12182	0.04477	0.0	0.21189	3.0882	0.21272	3.80313	0.0666	0.05892	0.20899	0.33637	0.21878	0.10794	0.91559	5.3652	0.0	0.36063	0.18851	0.08906	0.01205	0.7035	0.92668	0.47346	0.1704	0.73146	0.40587	0.00543	15.77533	0.17986	1.53398	0.0	0.10067	0.19212	0.08377	3.00124
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_Family_XIII_Incertae_Sedis	0.03517	0.13831	0.0	0.00937	0.0	0.00845	0.02199	0.0	0.04592	0.00988	0.00201	0.00151	0.0	0.00204	0.0	0.02048	0.0	0.18786	0.09464	0.05108	0.01462	0.00363	0.01585	0.00207	0.0	0.11293	0.0	0.02219	0.0065	0.03965	0.5592	0.0	0.01308	0.0	0.04654	0.00119	0.0	0.07587	0.0	0.0724	0.06388	0.02076	0.02238	0.00835	0.07097	0.0464	0.0166	0.00093	0.0131	0.00767	0.00041	0.02157	0.0	0.02091	0.00771	0.0	0.01035	0.0	0.02752	0.00381
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_unclassified	0.16673	0.11191	0.13244	0.05877	0.20055	0.12954	0.08048	0.06915	0.56035	0.48182	0.05012	0.0	0.26327	0.22292	0.0629	0.24645	0.0	3.92623	0.07314	0.01319	0.07886	0.15573	0.03735	0.01815	0.20866	0.06263	0.03655	0.01584	0.30775	0.06229	0.13552	0.10993	0.01731	0.05067	0.23582	0.62139	0.23716	0.12659	0.00495	0.10469	0.06366	0.0425	0.53906	0.26501	0.44763	0.0	0.10518	0.00924	0.30125	0.01262	0.00181	0.05385	0.08445	0.01612	0.03167	0.11245	0.20544	0.20758	0.0	0.19017
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	4.92242	5.27767	0.32704	10.69715	1.994	2.17991	2.27107	9.48744	0.61578	15.92084	9.3463	0.00423	1.7308	5.80471	7.72425	13.61967	6.76788	7.23986	4.11584	3.04311	19.9207	11.66345	6.75451	11.09021	19.76916	3.12905	5.62255	7.53789	5.78971	9.31524	16.52562	6.17076	1.70179	5.31075	3.95501	4.24598	4.92545	2.68938	13.87751	4.11493	6.97866	7.32861	1.68233	2.10355	3.64407	5.49275	1.81348	11.32405	6.18176	3.57294	8.97082	9.14271	2.08532	2.64359	17.23669	8.86587	0.60144	7.20882	4.01976	6.45876
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	25.71808	14.23399	18.11738	37.63328	26.15439	25.67918	5.95752	13.0812	10.56557	51.29029	38.60287	15.21719	25.01299	10.64494	41.76376	44.70007	19.93063	22.84464	39.07228	6.48183	17.85147	10.51559	22.07656	60.85538	20.5228	38.23618	35.14334	24.50162	27.72556	38.88309	10.83181	24.43721	16.61987	12.55909	22.0859	7.23624	17.52289	28.6322	27.79547	22.99734	26.62451	18.64093	42.43302	14.40648	24.02955	38.57183	25.81281	17.08042	28.20032	37.67441	30.40778	18.92162	18.18396	22.0494	17.54438	35.17235	5.97635	29.01266	24.18448	29.10849
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Oscillospiraceae	0.67089	1.23797	0.0	0.0	0.0	0.01866	0.47005	0.05932	1.76359	1.06043	0.15506	0.0	1.60251	0.0	0.71177	0.68153	0.68798	0.43414	0.37752	1.6089	1.33264	0.06173	1.41478	0.52396	0.32993	0.0	0.38281	0.15191	0.07591	0.86568	2.23404	0.10511	0.32674	0.30068	0.5312	0.02655	0.56945	0.2886	0.80511	0.76233	1.02499	0.91087	0.0	0.28204	0.60155	0.0856	0.56745	0.35683	0.0	0.84833	0.46232	0.16381	0.11043	0.42829	0.0	0.0	0.0	0.0	0.35209	0.00205
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	0.38459	0.0102	0.00404	0.0	0.00494	0.01602	2.44027	0.22573	0.02206	0.19748	0.63788	0.01003	0.0	0.34592	0.00363	0.04916	0.0	0.0224	0.01722	0.0178	0.0	0.11377	0.04357	0.0	0.03245	0.10252	0.0	0.0	0.30422	0.25997	6.56233	0.1142	0.07626	0.01849	0.09013	0.49654	0.06985	0.01764	0.00842	0.0	0.0	0.01912	0.0	0.01689	0.01049	0.11694	0.24901	0.00125	0.0	0.02191	0.0212	0.0	0.43534	0.15477	0.01159	0.07583	0.01673	0.03011	0.01821	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	25.60822	28.04532	0.8355	35.05258	6.97311	30.10268	6.0235	25.2575	11.30098	14.14409	13.82877	0.71108	7.69764	24.12418	17.41786	12.42604	5.52273	41.67162	10.92426	6.26477	22.28142	15.04249	13.42228	12.37416	26.04297	4.90112	17.61662	23.16063	27.34782	15.28857	8.12201	12.23958	14.32504	9.28954	13.76442	36.44832	25.19634	35.9003	10.89804	36.00563	23.84912	20.01675	8.331	2.47879	30.13798	26.83373	17.4784	19.28412	17.76335	29.07476	26.81538	19.59833	13.90385	17.01351	16.70667	22.45508	8.32121	21.45582	16.21984	12.98404
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae	0.08153	2.01588	0.06139	0.0	0.16148	0.31786	0.83938	0.02171	0.13688	1.04411	0.18216	0.30573	0.01999	0.71698	0.04673	0.14063	2.06253	0.28649	0.24742	2.02745	2.13085	0.4935	0.03482	0.23559	0.08979	0.25111	0.0	0.0	0.07918	0.01153	1.02485	0.01931	0.2391	0.21645	0.58878	0.08266	1.57616	0.03366	0.34449	0.8052	0.00312	0.04646	0.76401	1.11501	0.01615	0.29236	0.59236	0.16753	0.66194	0.131	0.05146	0.20885	0.27509	2.81581	1.91212	0.0249	0.0935	0.08352	0.06513	3.37083
k__Bacteria.p__Firmicutes.c__Firmicutes_unclassified.o__Firmicutes_unclassified.f__Firmicutes_unclassified	1.63414	1.34895	0.0503	0.1691	0.72329	0.20733	0.65324	0.35447	1.02287	0.39821	0.16906	0.0	0.17323	0.30408	0.09367	0.54331	0.56746	1.04293	1.52919	0.1368	0.21976	0.46262	2.32092	0.57993	1.53585	0.14533	1.10979	0.49415	2.13007	0.61472	0.50949	0.25808	0.53105	2.30998	0.59248	1.26688	2.29686	0.78463	0.30858	1.49961	0.61149	0.1693	0.02782	2.78414	0.02472	0.06295	0.72936	1.06497	0.51776	0.139	0.12415	3.01866	0.90319	0.89911	5.96929	0.41513	1.27836	0.0	0.00679	0.32851
