study_condition	nonNASH-OB	nonNASH-OB	H	H	H	H	nonNASH-OB	H	H	H	H	H	nonNASH-OB	H	H	H	H	nonNASH-OB	H	nonNASH-OB	nonNASH-OB	nonNASH-OB	H	nonNASH-OB	H	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella	0.0001238390092879257	0.0	0.00023228803716608595	0.0008379888268156424	0.00522158254117017	0.0	0.0	0.0016101763143064165	0.0	0.00014638073629510357	0.0036334913112164298	0.00806629023978881	0.00015445208124179472	0.0	0.0018597039351335267	0.019291516245487365	0.0	0.0	0.0	0.0	0.0004496402877697842	0.003504108264862252	0.008722300801508723	0.002598945570654192	0.008776068698688308	0.0	0.0	0.0	0.0010227040294538761	0.0	0.0015192950470981463	0.0	0.0	0.0	0.0	0.0	0.0	0.0011922503725782414	0.0	0.00021367521367521368	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Butyricimonas	0.0	0.0	0.00011614401858304297	0.0	0.0	0.0	0.0	0.00048305289429192495	0.0	0.0	0.000315955766192733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006041565973900435	0.0	0.0	0.0	0.0	0.0	0.00573921028466483	0.0	0.0	0.0	0.000691358024691358	0.00012217470983506414	0.0	0.0	0.003036599009109797	0.0	0.00029806259314456036	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	0.0	0.0	0.00011614401858304297	0.00027932960893854746	0.0021421877091980183	0.001658124811576726	0.0	0.006118669994364383	0.0	0.000658713313327966	0.000315955766192733	0.0009532888465204957	0.0007722604062089737	0.0014135702746365104	0.0	0.005189530685920578	0.0	0.0	0.0	0.0	0.005845323741007194	0.0010874818753020782	0.004243281471004243	0.0	0.0024535245824289895	0.0009365244536940686	0.00011125945705384957	0.0	0.0	0.0	0.0005064316823660489	0.0009876543209876543	0.0009773976786805131	0.0	0.0	0.0	0.0	0.004868355688027819	0.0	0.004914529914529914	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	0.00037151702786377707	0.00898972602739726	0.0018583042973286876	0.011033519553072624	0.004418262150220913	0.0	0.001995417929199616	0.022381450768859192	0.0008218856404837384	0.006147990924394349	0.009636650868878356	0.017012539414827308	0.006332535330913585	0.0026252019386106625	0.016439782786580377	0.014101985559566786	0.08333333333333334	0.0022007042253521123	0.0	0.01906765730817279	0.008842925659472423	0.007491541807636539	0.02899575671852899	0.004826613202643499	0.019722562989525336	0.0009365244536940687	0.03704939919893191	0.06496786042240588	0.02403354469216609	0.0	0.0030385900941962926	0.04750617283950618	0.002810018326206475	0.012432520857189596	0.00016020506247997436	0.022694582068083745	0.0019538882375928096	0.006557377049180328	0.00032679738562091506	0.00876068376068376	0.151210477576399
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	0.030712074303405567	0.0	0.0	0.0	0.00013388673182487614	0.0	0.0	0.0	0.0	0.00014638073629510357	0.0	0.00388648529735279	0.00038613020310448683	0.00020193861066235866	0.0	0.0	0.00273224043715847	0.0012470657276995303	0.01525255391600454	0.0024327700703530805	0.0007494004796163068	0.00809569840502658	0.0	0.016484740476720872	0.0006605643106539587	0.0	0.0038940809968847343	0.010674931129476586	0.00010227040294538761	0.026396798522394956	0.033323204699686006	0.0002962962962962963	0.0	0.0	0.4418455623197693	0.08198817324596452	0.040380356910251394	0.014008941877794341	0.1498692810457516	0.008547008547008544	0.004101071570313534
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00014188422247446084	6.575054244197515e-05	0.0	0.0	0.0	0.0	9.436633009342267e-05	0.0	0.0	0.0	0.0	0.0	0.0007090043553124683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021628806186563557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020257267294641952	0.0	0.12376298106291998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Hallella	0.0	0.0004280821917808219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002412031782065834	0.00019725162732592546	0.0	0.0	0.0	0.0005197891141308383	0.0	0.0	0.0016688918558077437	0.0010330578512396695	0.0	0.0	0.009622201964954927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0203921568627451	0.00021367521367521368	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044279848643426455	0.0	0.003073995462197175	0.0	7.332991127080736e-05	0.00023167812186269208	0.0	7.438815740534107e-05	0.0	0.0	0.0	0.0	0.0	0.001199040767386091	0.0006041565973900435	0.0	0.0	0.0	0.0	0.0	0.0	0.01585191245653508	0.0	0.0	0.00582716049382716	0.0002443494196701283	0.029118272533944056	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.6439628482972135	0.0004280821917808219	0.0	0.0	0.0	7.536930961712391e-05	7.390436774813391e-05	0.0002415264471459625	0.00011741223435481978	0.00014638073629510357	0.0001579778830963665	0.2382488817188532	0.007799830102710632	0.00020193861066235866	0.008108309157182176	0.26590703971119134	0.0004553734061930783	0.01232394366197183	0.034619750283768444	0.009270826484318494	0.007943645083932853	0.4697317544707588	0.0	0.29679958416870866	0.000283098990280268	0.879604578563996	0.003671562082777036	0.022382920110192835	0.0007158928206177132	0.02978297675850393	0.2927175124075762	0.25866666666666677	0.5147220525351253	0.017340094879764435	0.14322332585709704	0.42688189228064566	0.4728409534974601	0.0020864381520119225	0.3347712418300652	0.0023504273504273508	0.00013229263130043657
