dataset_name	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00204	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.00075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00022	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriales_unclassified.g__Lawsonella	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0.00195	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia	0	0	0	0	0	0	0.00866	0.02361	0	0.03302	0	0.01576	0	0	0	0.00042	0	0.00493	0	0	0	0	0	0	0	0	0	0	0	0.01378	0	0.00993	0	0	0	0.07161	0	0	0.02181	0	0.21013	0	0	0	0	0	0.00462	0.00208	0	0	0.01221	0.01709	0	0	0.0	0.02616	0.01011	0.00611	0	0.01059	0	0	0	0	0	0.0	0.00012	0	0	0	0	0.00295	0	0.0	0	0	0	0	0	0.00203	0	0	0	0	0.00047	0.0	0.00416	0	0	0	0	0	0.00282	0.00507	0	0	0	0	0.02591	0	0.0005	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Propionibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00133	0.0	0.0	0.0	0.0	0.00464	0.00118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Atopobium	0.0	0.0	0.0	0.00077	0.0	0.01336	0.0	0.0	0.0	0.00435	0.0	0.0	0.0	0.0	0.01616	0.0	0.0	0.08146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00067	0.0	0.00193	0.0	0.0	0.00627	0.0	0.0	0.0	0.0	0.02238	0.0	0.0	0.0	0.0	0.0	0.01828	0.0	0.0	0.0	0.00703	0.00387	0.0	0.0	0.0	0.17027	0.0	0.0	0.0101	0.00291	0.0	0.0	0.0	0.0	0.0	0.0	0.00131	0.0	0.0	0.0	0.00157	0.0	0.0	0.03012	0.00339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00384	0.00084	0.0	0.0	0.0	0.00838	0.0	0.0	0.00186	0.0	0.00035	0.0	0.00349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00276	0.0	0.0	0.00916	0.00055	0.0	0.0	0.0	0.00013	0.00228	0.0	0.0	0.00358	0.0	0.0	0.0	0.00106	0.0065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00116	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.04009	0.0	0.00049	0.00791	0.0	0.0	0.0	0.0	0.00625	0.0	0.0	0.0	0.00483	0.00078	0.0	0.0	0.0	0.0	0.0	0.01955	0.12138	0.00015	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella	0.54778	0.96256	0.42899	0.29986	0.19299	0.00074	2.07381	0.81964	0.43924	0.79516	1.16401	0.1775	0.00089	0.0	1.56769	0.00037	1.16523	0.81465	0.20693	0.51123	1.26097	0.14127	0.0	0.69307	0.02636	0.68354	0.49523	0.98175	0.0	0.0	0.3949	0.94634	2.34497	0.97526	0.44436	1.36867	0.38091	0.0	0.4098	1.29545	0.0	0.2956	1.84252	1.36672	0.0	1.80582	1.17035	2.56467	0.0	1.1845	0.89213	0.89617	0.46712	0.0	0.80523	1.1899	0.02798	0.22485	0.0	4.1594	3.39065	0.65502	1.20146	0.12164	0.74841	0.49001	2.28877	0.0032	6.052	0.00045	0.91128	2.04696	0.0	3.78557	0.0	0.38388	0.8278	1.03108	2.59287	0.54187	0.32456	0.90015	0.0	1.88134	3.13292	0.00446	0.62609	0.6634	2.00283	0.30055	0.00143	0.0	0.0379	0.54345	0.40775	0.86025	1.356	1.73099	1.06597	1.3734	1.68737	3.17257	0.00103	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enorma	0.00363	0.01014	0.00284	0.00029	0.00107	0.0	0.0037	0.00399	0.00093	0.00657	0.01424	0.0	0.38243	0.0	0.00973	0.0	0.00396	0.00436	0.0	0.00182	0.01109	0.00433	0.0	0.00234	0.16897	0.00908	0.00292	0.00254	0.0	0.0	0.00409	0.02989	0.00983	0.00292	0.00053	0.01166	0.00264	0.0	0.22485	0.00824	0.0	0.00327	0.01548	0.01265	0.0	0.00715	0.01284	0.0193	0.0	0.00446	0.00371	0.00989	0.00185	0.0	0.00568	0.00917	0.0	0.00131	0.0	0.04159	0.01515	0.00094	0.00264	0.0	0.06886	0.00402	0.01089	0.0	0.04519	0.0	0.00705	0.00487	0.0	0.02629	0.0	0.00124	0.00329	0.00659	0.02123	0.07002	0.00153	0.00671	0.0	0.00551	0.0369	0.0	0.01498	0.01676	0.01041	0.03807	0.0	0.0	0.0	0.00465	0.00112	0.00748	0.02286	0.00686	0.00075	0.01072	0.00621	0.02178	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Adlercreutzia	0.02615	0.0941	0.0224	0.01841	0.04913	0.08364	0.01921	0.0	0.04156	0.0	0.00241	0.04355	0.14591	0.10061	0.05705	0.01946	0.00204	0.0112	0.06099	0.0	0.0759	0.00379	0.04864	0.06558	0.0162	0.10531	0.00502	0.01672	0.0	0.00171	0.01045	0.03596	0.0155	0.07972	0.00103	0.00064	0.03446	0.0	1.42513	0.02557	0.0	0.02543	0.0009	0.00665	0.03828	0.0	0.0	0.02817	0.01321	0.08272	0.1364	0.02727	0.05134	0.0	0.01127	0.0	0.00211	0.09536	0.00016	0.29141	0.21969	0.01225	0.02695	0.0	0.03087	0.0223	0.08946	0.0	0.01391	0.01357	0.0	0.03225	0.02778	0.01368	0.06341	0.0	0.0	0.00077	0.00673	0.00958	0.02344	0.04755	0.0	0.0	0.0283	0.17687	0.03928	0.02058	0.0378	0.01945	0.37476	0.03023	0.0	0.0	0.07551	0.04394	0.00849	0.02395	0.00057	0.12787	0.04978	0.37192	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Asaccharobacter	0.07394	0.09644	0.01771	0.0062	0.06043	0.03961	0.0137	0.0	0.02696	0.0	0.00399	0.02269	0.06013	0.04256	0.02109	0.01507	0.0	0.0405	0.05388	0.0	0.03432	0.00213	0.07284	0.0723	0.01695	0.14144	0.00283	0.01383	0.0	0.00131	0.00617	0.0459	0.03035	0.08493	0.0	0.0	0.03734	0.0	1.19062	0.02126	0.0	0.00864	0.0	0.00812	0.0614	0.0	0.0	0.02746	0.01511	0.06502	0.19431	0.01387	0.06031	0.00054	0.01667	0.0	0.00147	0.10964	0.00033	0.33289	0.35482	0.00495	0.00866	0.0	0.02229	0.01032	0.09934	0.00058	0.00446	0.04819	0.0	0.07633	0.03234	0.01491	0.0429	0.0	0.0	0.00052	0.01185	0.00804	0.02012	0.01774	0.0	0.0	0.02017	0.04827	0.10249	0.02411	0.03444	0.00972	0.09781	0.02385	0.0	0.0	0.02991	0.01949	0.00065	0.02693	0.0	0.08742	0.01034	0.66709	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Denitrobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00059	0.0	0.00363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Eggerthella	0.04259	0.01537	0.02949	0.05152	0.09349	0.51092	0.01953	0.07115	0.00502	0.0	0.0	0.08805	0.0	0.00032	0.04104	0.05935	0.02007	0.01157	0.02167	0.0	0.0	0.0	0.44384	0.02032	0.0	0.15836	0.0	0.15126	0.14177	0.42737	0.0178	0.01643	0.31455	0.02915	0.03483	0.0	0.0	0.12298	0.14944	0.0	0.0	0.03667	0.00067	0.0	0.03779	0.09693	0.0	0.07074	0.10305	0.16408	0.0	0.00453	0.0	0.12676	0.03834	0.0	0.0	0.00545	0.91441	0.15477	0.0028	0.0	0.0	0.06861	0.01725	0.1301	0.36741	0.14575	0.0	0.54246	0.0	0.09217	0.01198	0.74734	0.16684	0.0	0.0	0.0	0.43745	0.0	0.0	0.01327	0.1568	0.08632	0.0	0.09838	0.06024	0.00454	0.00066	0.0	0.23519	0.04071	0.0412	0.0	0.01166	0.0	0.0	0.0	0.04098	0.17158	0.08929	0.21001	1.02729	0.23839
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Enterorhabdus	0.00166	0.00514	0.00141	0.00036	0.00373	0.00744	0.0	0.0	0.0009	0.0	0.0	0.00238	0.00396	0.00217	0.00245	0.00068	0.0	0.00287	0.01144	0.0	0.00159	0.0	0.02273	0.00314	0.00114	0.01026	0.0	0.01077	0.00024	0.00173	0.00082	0.00087	0.00242	0.00223	0.0	0.0	0.0	0.0	0.05379	0.00071	0.0	0.00024	0.0	0.0	0.00152	0.0	0.0	0.00228	0.0	0.00391	0.00685	0.00129	0.00323	0.00935	0.00106	0.0	0.0	0.00363	0.00065	0.01913	0.0167	0.00066	0.00111	0.0	0.0	0.00146	0.0072	0.00188	0.00137	0.0082	0.0	0.00302	0.00017	0.00843	0.0029	0.0	0.0	0.0	0.0043	0.00103	0.00031	0.01671	0.0	0.0	0.00215	0.0031	0.00283	0.00069	0.00271	0.0	0.0099	0.00093	0.0	0.0	0.00195	0.00069	0.0	0.00315	0.0	0.00541	0.00156	0.22241	0.00444	0.00047
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Gordonibacter	0.00807	0.07558	0.00751	0.02354	0.06878	0.49933	0.00495	0.01012	0.0336	0.0	0.00088	0.17053	0.00755	0.00417	0.07129	0.02516	0.00728	0.01958	0.0242	0.0	0.01064	0.0	0.12842	0.00754	0.00794	0.17879	0.0	0.04448	0.02362	0.10637	0.01061	0.00531	0.09078	0.04524	0.01832	0.0	0.0	0.03668	0.16701	0.0021	0.0	0.0065	0.00197	0.0	0.03144	0.01369	0.0	0.04935	0.04091	0.04943	0.0786	0.00286	0.06738	0.02676	0.03732	0.0	0.0	0.04829	0.17675	0.34871	0.00962	0.00081	0.0207	0.00698	0.00937	0.08364	0.09022	0.58098	0.0	0.07768	0.0	0.01171	0.00676	0.34636	0.03225	0.0	0.0	0.00127	0.13487	0.00525	0.00966	0.00447	0.01848	0.12198	0.00148	0.04883	0.02348	0.01751	0.01907	0.00376	0.03861	0.0365	0.00232	0.0	0.00556	0.04469	0.0	0.00288	0.00855	0.08012	0.04342	0.33652	0.1444	0.04945
