dataset_name	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018
study_condition	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Butyricimonas	0.00912	0.0	0.00306	0.18198	0.05825	0.00372	0.3641	0.1737	0.0	0.0	0.0	0.69484	0.10735	0.0	0.1147	0.07979	0.75658	0.01111	0.09557	0.15429	0.0	0.36248	0.52975	0.0	0.08979	0.08289	0.3973	0.04305	0.02175	0.0333	0.00094	0.0	0.00069	0.05721	0.82951	0.26903	0.0	0.0	0.28144	0.0	0.0	0.0	0.00562	0.0	0.14198	0.15058	0.14401	0.0	0.19258	0.0	0.0	0.55517	0.09776	0.00935	0.08782	0.0	0.0	0.27703	0.68023	0.19888	0.00478	0.03711	0.04376	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Odoribacter	0.11886	0.0	0.06295	1.05515	0.32753	0.21175	2.31362	0.09976	0.0	0.09847	0.0	2.24662	0.05134	0.02668	0.98885	0.45414	0.4613	0.0	0.08414	0.21628	0.07048	2.73361	0.0	0.278	0.6299	0.89549	0.00414	0.29503	0.09348	0.13612	0.01431	0.0	1.17983	0.10656	0.0	0.47535	0.0	0.0	0.45808	0.0	0.00141	0.0	0.15119	0.01142	0.70137	0.46412	0.90406	0.0	1.01037	1.24768	0.00621	0.98243	0.06913	0.08609	0.22487	0.8144	0.0	0.68134	1.2662	0.46511	0.34225	0.46872	0.0	0.0	0.07415
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Sanguibacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00548	0.0	0.0	0.0	0.0	0.00529	0.0	0.0	0.00035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01152	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella	0.00524	0.0	0.09471	0.0	0.74393	0.0	0.15777	0.18569	0.0	0.04408	0.116	0.0	0.58303	0.02393	0.92019	0.26534	0.02285	0.0	0.0	0.0	0.0	0.03847	0.0	0.0	0.2047	0.0	0.0	0.0	0.0	0.10788	0.06285	0.0	1.14898	0.02516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09944	0.0	0.0	0.0	0.0	0.0	0.0	0.23429	0.17369	0.0	0.71496	0.0	0.00933	0.12066	0.0	0.0	0.00222	0.34353	0.0	0.06202	0.00451	0.03181	0.0	0.84319
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella	63.43475	0.67229	0.02963	0.08181	0.05231	37.34246	0.37054	15.98783	0.28935	0.35061	0.1301	28.52792	1.39753	6.86016	0.42722	0.07139	62.03284	84.41675	0.33654	0.0563	0.18431	36.92822	0.42893	0.37211	69.60664	0.40909	0.32517	0.19562	0.11908	67.25788	95.27056	0.15746	0.36939	54.78014	0.0427	0.0277	0.01274	0.18306	0.06744	0.09498	95.93307	0.04026	3.57964	91.23657	0.16723	0.01243	0.21948	96.17235	0.0207	0.2933	94.66392	0.86761	59.99178	87.06687	0.98787	77.04083	75.64614	62.19571	34.57027	0.32431	0.92594	12.89772	84.10332	0.37234	0.14612
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	2.14952	0.82275	4.36092	11.38004	30.274	16.24001	28.28952	6.5838	0.77779	21.036	3.33004	19.45262	13.13622	1.77603	18.28043	23.09556	6.58467	1.36364	30.86871	20.12187	0.01852	24.45193	9.59128	32.10764	1.66787	3.55891	0.51644	14.47523	4.2987	4.2507	0.4082	0.0577	12.36407	0.86643	0.14676	26.34249	0.01254	0.44949	19.14923	9.34537	0.23456	24.92749	7.41189	1.90536	29.26928	30.89415	26.98766	0.18486	17.70817	45.05268	0.29421	19.83854	4.86266	5.7088	10.92321	9.5968	0.03543	8.48117	8.13325	5.25154	7.98094	4.70865	5.82064	16.02965	1.89712
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides	0.36766	2.35681	0.32621	1.40454	0.50712	0.80972	6.07964	2.19398	0.38843	1.54641	2.91381	1.98646	0.74467	0.15271	7.00941	2.07948	1.75819	0.22696	0.67344	0.38825	0.96144	0.38176	0.61408	2.18269	0.72046	2.9465	2.71104	0.39365	1.12592	0.41763	0.07259	1.48563	1.74948	2.19591	6.6617	1.89766	4.38943	1.25855	0.55168	2.69377	0.02027	7.96578	0.31295	0.08006	1.15577	2.12151	2.5244	0.00571	4.29504	1.52415	0.10149	1.33134	0.22879	0.11899	0.38555	2.85484	0.35725	1.0496	2.99733	0.70802	0.32213	0.44344	0.18742	0.63498	1.05812
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Elizabethkingia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00252	0.0	0.0	0.0023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Granulicatella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
