dataset_name	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016
study_condition	T1D	T1D	T1D	control	control	control	control	control	control	T1D	T1D	T1D	control	control	T1D	T1D	T1D	T1D	T1D	T1D	T1D	T1D	T1D	control	control	control	T1D	T1D	control	control	control	control	control	T1D	T1D	T1D	T1D	T1D	control	control	T1D	T1D	T1D	T1D	T1D	control	control	control	control	control	control	control	control
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Slackia	0.50121	0.23514	0.46756	0.31057	0.37584	0.21821	0.0	0.0	0.0	0.25241	0.47499	0.11419	0.16002	0.04165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08801	0.12271	0.05718	0.14079	0.04405	0.17678	0.02372	0.0	0.01776	0.0	0.0	0.01734	0.01972	0.02363	0.127
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	17.30015	21.76906	23.45133	30.10943	21.25377	21.40995	40.36617	34.832	51.697	5.09203	10.24218	1.48173	4.8802	3.62565	24.61511	42.64108	28.0021	10.83495	21.05705	19.24144	49.10373	63.80959	60.11334	26.59883	24.76092	34.89218	36.37265	36.02351	31.55182	29.97107	28.66715	37.34289	27.42967	27.63008	35.42625	18.97796	63.90237	49.57224	2.99393	1.18984	4.19084	15.68733	5.41886	20.54287	10.75185	53.11353	11.94374	50.21595	32.54511	13.20916	10.61416	5.74041	9.32317
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Barnesiella	0.58412	1.48804	1.41577	0.50876	0.7236	0.87874	2.17752	0.94239	2.09747	0.14399	0.38996	0.07777	0.05771	0.07352	2.51357	2.07893	1.468	0.0	0.0	0.0	0.0	0.0	0.0	4.43453	3.47835	4.10955	0.0	0.0	2.43612	1.71155	0.0	0.0	0.0	1.423	0.85343	0.86789	0.0	5.07525	0.0	0.0	0.0	0.0	0.00335	0.91896	0.45063	0.0	0.64543	0.0	0.0	1.12918	0.01968	0.12783	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Coprobacter	0.31368	0.38911	0.55023	0.02529	0.05838	0.1119	0.15465	0.07111	0.19048	0.02751	0.1023	0.01616	0.0	0.0	0.32407	0.21219	0.09062	0.36734	0.45713	0.77821	0.0793	0.10625	0.10952	0.15124	1.22102	0.41592	0.0	0.0	0.44953	0.47571	0.36913	0.87192	0.70332	0.98305	0.34744	0.33558	0.0	0.0	0.0	0.0	0.0	0.21992	0.04944	0.15978	0.01577	0.0	0.02906	0.05097	0.26085	0.03669	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Butyricimonas	0.88395	0.88082	1.30929	0.08632	0.13299	0.06855	0.0	0.0	0.0	0.84816	1.24805	0.12568	0.29375	0.10238	0.0	0.00316	0.00248	0.0	0.0	0.0	0.0014	0.0006	0.00356	0.0	0.0	0.0	0.0	0.0	0.00376	0.0	0.0	0.0	0.0	0.76429	0.76304	0.52951	0.0	0.0	0.0	0.0	0.00227	0.09349	0.03777	1.39054	0.11744	0.11501	0.19719	0.05467	0.18491	0.28559	0.0503	0.09531	0.02098
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Odoribacter	1.42523	1.37001	1.04089	0.97845	0.39844	0.57937	1.1517	0.67579	0.96337	0.81619	0.97717	0.26376	1.02992	0.59633	0.71773	1.32314	0.73361	1.42772	0.87062	1.28782	1.49453	1.34352	1.8173	0.82216	0.98571	1.32125	0.0	0.0	1.09093	1.27086	0.89402	1.11924	0.88611	3.4035	3.63993	2.29928	0.0	1.9985	0.0	0.0	0.05002	0.94537	0.43979	3.40225	0.3099	0.36064	0.37172	0.73518	1.34889	0.49572	0.20808	0.53764	0.08872
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00201	0.31169	0.09226	0.0	0.0	0.0	0.0	0.24153	0.0	0.01243	0.03218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Sanguibacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02605	0.01356	0.00596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00114	0.42207	0.0	0.01143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01424	0.00156	0.0	0.0	0.0	0.04815	0.06349	0.0	0.0734	0.72977	0.08975	0.08208	0.0	0.00675	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella	9.18944	5.37	0.86791	0.00359	0.0	0.03183	0.0	0.0	0.00288	39.27769	12.57761	67.92337	38.70716	54.27005	0.0	0.0	0.0	0.0	0.00262	0.03114	0.0	0.0	0.0	0.0	0.0	0.0	0.03036	0.0	0.0	0.0	0.0	0.00205	0.01092	6.42806	2.61356	0.76351	0.0	0.0	73.09128	54.86736	55.94576	37.774	72.35125	20.07896	61.58307	0.0	60.0063	0.00052	0.00187	59.2867	62.18986	67.5514	23.38716
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	6.78748	11.46161	9.92469	4.28967	8.82817	6.99042	4.33185	1.77103	5.41539	2.93198	4.49825	1.22113	3.99244	2.03567	4.77403	7.12569	3.42085	4.94701	2.5463	3.0242	13.07234	3.17288	8.51515	5.76333	6.56705	10.4459	0.0	0.0	8.15888	6.38511	7.2973	7.22059	6.98903	2.00854	2.80357	2.09713	0.03571	1.37325	0.00772	0.08169	0.02488	1.01862	0.1394	7.36589	2.23143	4.41449	2.71887	5.77485	3.4896	3.45989	0.0382	0.00333	0.20949
