dataset_name	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b
study_condition	CRC	CRC	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	control	CRC	control	CRC	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	CRC	CRC	control	CRC	CRC	CRC	control	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	CRC	control	CRC	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales	0.01341	0.0	0.0	0.0	0.02037	0.0	0.21184	0.10247	0.0	0.01951	0.0	0.00751	0.0	0.18833	0.0	0.01807	0.0	0.02222	0.0011	0.0	0.0	0.03139	0.00323	0.0	0.0	0.07204	0.0	0.0	0.0	0.2118	0.3388	0.0	0.0	0.0	0.0	0.06685	0.06712	0.0	0.00272	0.0	0.0	0.0	0.36319	0.0	0.00525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales	0.02003	0.0	0.0	0.00075	0.0	0.0	0.011	0.35978	0.0	0.0	0.0	0.0	0.0	0.00807	0.0	0.0	0.0	0.01009	0.0	0.0	0.0	0.13733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00451	0.07921	0.0	0.0	0.0	0.0	0.00859	0.0	0.0	0.0	0.0	0.0	0.0	0.00559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00203	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Lentisphaerae.c__Lentisphaeria.o__Victivallales	0.0	0.0	0.0	0.0	0.0	0.0	0.01885	0.04806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03216	0.0	0.0	0.02041	0.0	0.006	0.04324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01113	0.0	0.0	0.00483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	0.0416	0.0	0.01213	0.27132	0.04822	0.01258	0.0	0.0	0.0	0.006	0.13811	0.1701	0.01722	0.0	0.032	0.0	0.0	0.0	0.00042	0.0	0.50626	0.029	0.20772	0.00455	0.0	0.0	0.09562	0.25057	0.0	0.08656	0.00037	0.0	0.12796	0.34966	0.0	0.0	0.09325	0.16052	0.11041	0.00268	0.04021	0.07352	0.03491	0.05156	0.15947	0.0	0.00719	0.07332	0.00473	0.0	0.63286	0.0	0.0	0.08019	0.0	0.0	0.0	0.1556	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales	0.11398	0.16167	0.04643	0.0	0.07384	0.04282	0.05991	0.08003	0.0	0.02254	0.16984	0.30385	0.47107	0.03701	0.0	0.08537	0.0138	0.04648	0.03944	0.0	0.03537	0.06543	0.45619	0.00904	0.03713	0.19614	0.0	0.00489	0.12648	0.04516	0.20892	0.01937	0.0	0.0	0.06399	0.09106	3.4693	0.05776	0.05832	0.00676	0.0304	0.13774	0.2065	0.0	0.05879	0.0	0.06974	0.07993	0.18	0.0	0.01442	0.05345	0.03999	0.01249	0.11989	0.02001	0.18041	0.0	0.01233	0.25997
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.00021	0.00291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Aeromonadales	0.0	0.0	0.94236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01438	0.0	0.0379	0.0	0.0	0.0	0.0	0.0	0.0	0.01384	0.91719	0.0	0.0	0.0	0.0	0.34541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales	3.58788	0.39643	0.21822	0	0	8.79445	0.23608	0.2205	1.50013	0.35187	0.00575	0.21906	0	0.75762	0.42254	0.05462	21.09679	1.92338	0.16817	0.13757	1.44778	0.00447	0.2615	1.1068	0.01174	0.0014	2.59539	0.19816	0.24237	1.24678	2.67668	0.24715	0.00753	0.00619	0.05667	0.16296	1.90823	0.0278	0.01144	0.01265	0	0.0019	12.85248	0.75673	0.17011	0.0	0.24994	1.15159	0	0.39636	0.0	1.24897	0	0	1.32818	0	0.18051	0	0.18892	0
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	0.05071	0.0	0.0	0.0	0.0	0.0	0.00736	0.0	0	0.0	0.0	0.0	0	0.00872	0.0	0.0	0.03706	0.0	0.22296	0.05321	0.03057	0.00402	0.0	0.0171	0.0	0	0.0	0.01678	0.0	0.0	0.0	0.0	0.76276	0.0	0.0153	0.0	0.0	0.0	0.01642	0	0.0	0.0344	0	0.00882	0.0	0.06704	0	0.0	0.0	0.12129	0.01389	0.0	0.0	0.0	0	0	0	0.0	0.02888	0.0
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.01574	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Proteobacteria_unclassified.o__Proteobacteria_unclassified	0.0	0.0	0.0	0.00699	0.0	0.0	0.01762	0.0	0	0.0	0.04339	0.00908	0	0.0	0.06212	0.0	0.0	0.0	0.0	0.0	0.03308	0.0	0.32322	0.0	0.0	0	0.00238	0.0	0.0	0.05325	0.0	0.0	0.12607	0.0	0.0	0.0	0.0	0.0	0.00218	0	0.0	0.22267	0	0.21399	0.0081	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.73039	0.0	0.0
k__Bacteria.p__Spirochaetes.c__Spirochaetia.o__Spirochaetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.02859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
k__Bacteria.p__Synergistetes.c__Synergistia.o__Synergistales	0	0.0	0.0	0.00187	0.0	0.0	0.0	0.05732	0	0.0	0.0	0	0	0.02131	0.0	0.0	0	0.04654	0	0.02913	0	0.0	0	0	0.0	0	0	0.0	0.0	0.0	0.02547	0.0	0	0.01862	0.00609	0.00084	0.0	0.0	0.0	0	0.0	0	0	0.00623	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0.0
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	0	0.3138	0.05846	0.00243	2.90133	0.91854	2.70155	1.47332	0	0.0	0.0	0	0	0.26949	0.13955	0.06523	0	2.44666	0	2.0403	0	0.34312	0	0	1.66112	0	0	0.20092	1.83542	0.17594	6.57948	0.85787	0	1.25198	0.0	0.0	2.9735	1.07144	0.12127	0	0.71333	0	0	0.0	0	0	0	1.89237	0.78324	0.22503	0.13973	1.72996	0.07653	0.07357	0	0	0	0.6904	0	0.68001
